PERMNO,date,TICKER,RET
14593,2011-01-03,AAPL,0.021732
14593,2011-01-04,AAPL,0.005219
14593,2011-01-05,AAPL,0.008180
14593,2011-01-06,AAPL,-0.000808
14593,2011-01-07,AAPL,0.007161
14593,2011-01-10,AAPL,0.018847
14593,2011-01-11,AAPL,-0.002380
14593,2011-01-12,AAPL,0.008137
14593,2011-01-13,AAPL,0.003658
14593,2011-01-14,AAPL,0.008100
14593,2011-01-18,AAPL,-0.022469
14593,2011-01-19,AAPL,-0.005313
14593,2011-01-20,AAPL,-0.018180
14593,2011-01-21,AAPL,-0.017915
14593,2011-01-24,AAPL,0.032842
14593,2011-01-25,AAPL,0.011705
14593,2011-01-26,AAPL,0.007176
14593,2011-01-27,AAPL,-0.001861
14593,2011-01-28,AAPL,-0.020716
14593,2011-01-31,AAPL,0.009580
14593,2011-02-01,AAPL,0.016828
14593,2011-02-02,AAPL,-0.002058
14593,2011-02-03,AAPL,-0.002556
14593,2011-02-04,AAPL,0.008910
14593,2011-02-07,AAPL,0.015527
14593,2011-02-08,AAPL,0.009435
14593,2011-02-09,AAPL,0.008333
14593,2011-02-10,AAPL,-0.010107
14593,2011-02-11,AAPL,0.006515
14593,2011-02-14,AAPL,0.006529
14593,2011-02-15,AAPL,0.002005
14593,2011-02-16,AAPL,0.008975
14593,2011-02-17,AAPL,-0.013301
14593,2011-02-18,AAPL,-0.021602
14593,2011-02-22,AAPL,-0.034088
14593,2011-02-23,AAPL,0.011843
14593,2011-02-24,AAPL,0.000759
14593,2011-02-25,AAPL,0.015399
14593,2011-02-28,AAPL,0.014505
14593,2011-03-01,AAPL,-0.011042
14593,2011-03-02,AAPL,0.008044
14593,2011-03-03,AAPL,0.021129
14593,2011-03-04,AAPL,0.001224
14593,2011-03-07,AAPL,-0.012889
14593,2011-03-08,AAPL,0.001126
14593,2011-03-09,AAPL,-0.009248
14593,2011-03-10,AAPL,-0.016455
14593,2011-03-11,AAPL,0.015346
14593,2011-03-14,AAPL,0.004460
14593,2011-03-15,AAPL,-0.022995
14593,2011-03-16,AAPL,-0.044640
14593,2011-03-17,AAPL,0.014030
14593,2011-03-18,AAPL,-0.011863
14593,2011-03-21,AAPL,0.026098
14593,2011-03-22,AAPL,0.005600
14593,2011-03-23,AAPL,-0.005891
14593,2011-03-24,AAPL,0.017041
14593,2011-03-25,AAPL,0.019045
14593,2011-03-28,AAPL,-0.003129
14593,2011-03-29,AAPL,0.001484
14593,2011-03-30,AAPL,-0.006639
14593,2011-03-31,AAPL,-0.000351
14593,2011-04-01,AAPL,-0.011327
14593,2011-04-04,AAPL,-0.009781
14593,2011-04-05,AAPL,-0.006741
14593,2011-04-06,AAPL,-0.002508
14593,2011-04-07,AAPL,0.000118
14593,2011-04-08,AAPL,-0.008933
14593,2011-04-11,AAPL,-0.012714
14593,2011-04-12,AAPL,0.004837
14593,2011-04-13,AAPL,0.011221
14593,2011-04-14,AAPL,-0.011037
14593,2011-04-15,AAPL,-0.014921
14593,2011-04-18,AAPL,0.013406
14593,2011-04-19,AAPL,0.018111
14593,2011-04-20,AAPL,0.013467
14593,2011-04-21,AAPL,0.024199
14593,2011-04-25,AAPL,0.006595
14593,2011-04-26,AAPL,-0.007334
14593,2011-04-27,AAPL,-0.000771
14593,2011-04-28,AAPL,-0.009710
14593,2011-04-29,AAPL,0.009748
14593,2011-05-02,AAPL,-0.010996
14593,2011-05-03,AAPL,0.005545
14593,2011-05-04,AAPL,0.003935
14593,2011-05-05,AAPL,-0.008067
14593,2011-05-06,AAPL,-0.000260
14593,2011-05-09,AAPL,0.002712
14593,2011-05-10,AAPL,0.005322
14593,2011-05-11,AAPL,-0.006353
14593,2011-05-12,AAPL,-0.001901
14593,2011-05-13,AAPL,-0.017515
14593,2011-05-16,AAPL,-0.021145
14593,2011-05-17,AAPL,0.008521
14593,2011-05-18,AAPL,0.011097
14593,2011-05-19,AAPL,0.001942
14593,2011-05-20,AAPL,-0.015593
14593,2011-05-23,AAPL,-0.002446
14593,2011-05-24,AAPL,-0.006609
14593,2011-05-25,AAPL,0.013817
14593,2011-05-26,AAPL,-0.005285
14593,2011-05-27,AAPL,0.007194
14593,2011-05-31,AAPL,0.030882
14593,2011-06-01,AAPL,-0.006670
14593,2011-06-02,AAPL,0.001713
